chr	pos_start	pos_end	compartment	compartment_score
chr2	41040001.0	41360000.0	B	0.25
chr2	41360001.0	41680000.0	B	0.125
chr2	41680001.0	42040000.0	B	0.125
chr2	42040001.0	42320000.0	A	0.875
chr2	42320001.0	42600000.0	A	1.0
chr2	42600001.0	43040000.0	A	0.875
chr2	43040001.0	43480000.0	A	1.0
chr2	43480001.0	43800000.0	A	1.0
chr2	43800001.0	44240000.0	A	0.875
chr2	44240001.0	44640000.0	A	0.75
chr2	44640001.0	45160000.0	B	0.25
chr2	45160001.0	45400000.0	B	0.5
chr2	45400001.0	45800000.0	A	0.625
chr2	45800001.0	46160000.0	A	0.875
chr2	46160001.0	46520000.0	A	1.0
chr2	46520001.0	46840000.0	A	1.0
chr2	46840001.0	47160000.0	A	1.0
chr2	47160001.0	47560000.0	A	1.0
chr2	47560001.0	48120000.0	A	0.75
chr2	48120001.0	48320000.0	B	0.375
chr2	48320001.0	48520000.0	B	0.5
chr2	48520001.0	48800000.0	A	0.75
chr2	48800001.0	49200000.0	B	0.5
chr2	49200001.0	49560000.0	B	0.25
chr2	49560001.0	50360000.0	B	0.125
chr2	50360001.0	50720000.0	B	0.25
chr2	50720001.0	51120000.0	B	0.375
chr2	51120001.0	51520000.0	B	0.5
chr2	51520001.0	51680000.0	A	0.625
chr2	51680001.0	51920000.0	A	0.625
chr2	51920001.0	52320000.0	A	0.75
chr2	52320001.0	52560000.0	A	0.625
chr2	52560001.0	52800000.0	A	0.75
chr2	52800001.0	53080000.0	A	0.625
chr2	53080001.0	53280000.0	A	0.625
chr2	53280001.0	53480000.0	B	0.5
chr2	53480001.0	53640000.0	B	0.375
chr2	53640001.0	53760000.0	B	0.5
chr2	53760001.0	54000000.0	B	0.5
chr2	54000001.0	54320000.0	A	1.0
chr2	54320001.0	54440000.0	A	0.875
chr2	54440001.0	54680000.0	A	0.875
chr2	54680001.0	54960000.0	A	1.0
chr2	54960001.0	55120000.0	A	0.75
chr2	55120001.0	55480000.0	A	1.0
chr2	55480001.0	55880000.0	A	1.0
chr2	55880001.0	56040000.0	A	0.75
chr2	56040001.0	56240000.0	A	0.875
chr2	56240001.0	56440000.0	B	0.25
chr2	56440001.0	57080000.0	B	0.125
chr2	57080001.0	57920000.0	B	0.125
chr2	57920001.0	58240000.0	B	0.25
chr2	58240001.0	58480000.0	A	0.625
chr2	58480001.0	58720000.0	B	0.25
chr2	58720001.0	58960000.0	B	0.25
chr2	58960001.0	59080000.0	B	0.25
chr2	59080001.0	59240000.0	B	0.375
chr2	59240001.0	59560000.0	B	0.25
chr2	59560001.0	59920000.0	B	0.125
chr2	59920001.0	60520000.0	B	0.125
chr2	60520001.0	60680000.0	B	0.25
chr2	60680001.0	60920000.0	B	0.5
chr2	60920001.0	61240000.0	A	0.625
chr2	61240001.0	61760000.0	A	1.0
chr2	61760001.0	62120000.0	A	0.875
chr2	62120001.0	62480000.0	A	0.625
chr2	62480001.0	62640000.0	B	0.375
chr2	62640001.0	62920000.0	A	0.75
chr2	62920001.0	63040000.0	A	0.75
chr2	63040001.0	63280000.0	A	0.625
chr2	63280001.0	63640000.0	B	0.25
chr2	63640001.0	63800000.0	B	0.375
chr2	63800001.0	64240000.0	A	0.75
chr2	64240001.0	64520000.0	A	0.75
chr2	64520001.0	64760000.0	A	0.625
chr2	64760001.0	65080000.0	A	1.0
chr2	65080001.0	65360000.0	A	0.875
chr2	65360001.0	65680000.0	A	0.875
chr2	65680001.0	65840000.0	A	0.625
chr2	65840001.0	66200000.0	B	0.25
chr2	66200001.0	66640000.0	B	0.25
chr2	66640001.0	66800000.0	A	0.875
chr2	66800001.0	67000000.0	A	0.75
chr2	67000001.0	67160000.0	A	0.875
chr2	67160001.0	67440000.0	A	0.75
chr2	67440001.0	67720000.0	A	0.875
chr2	67720001.0	67880000.0	A	0.875
chr2	67880001.0	68120000.0	A	0.625
chr2	68120001.0	68320000.0	A	0.625
chr2	68320001.0	68520000.0	A	1.0
chr2	68520001.0	68680000.0	A	0.75
chr2	68680001.0	68920000.0	A	0.625
chr2	68920001.0	69160000.0	A	0.875
chr2	69160001.0	69560000.0	A	1.0
chr2	69560001.0	70120000.0	A	1.0
chr2	70120001.0	70520000.0	A	1.0
chr2	70520001.0	70920000.0	B	0.25
chr2	70920001.0	71080000.0	B	0.25
chr2	71080001.0	71400000.0	A	0.625
chr2	71400001.0	71560000.0	B	0.375
chr2	71560001.0	71720000.0	A	0.625
chr2	71720001.0	71960000.0	B	0.375
chr2	71960001.0	72160000.0	B	0.375
chr2	72160001.0	72320000.0	B	0.25
chr2	72320001.0	72720000.0	B	0.5
chr2	72720001.0	72960000.0	A	0.625
chr2	72960001.0	73120000.0	A	0.75
chr2	73120001.0	73480000.0	A	1.0
chr2	73480001.0	73960000.0	B	0.5
chr2	73960001.0	74440000.0	A	1.0
chr2	74440001.0	74600000.0	A	0.75
chr2	74600001.0	74800000.0	A	1.0
chr2	74800001.0	75160000.0	A	0.875
chr2	75160001.0	75280000.0	A	0.875
chr2	75280001.0	75440000.0	A	0.625
chr2	75440001.0	75560000.0	A	0.75
chr2	75560001.0	75720000.0	A	0.625
chr2	75720001.0	75920000.0	A	0.875
chr2	75920001.0	76560000.0	B	0.125
chr2	76560001.0	76880000.0	B	0.125
chr2	76880001.0	77080000.0	B	0.125
chr2	77080001.0	77200000.0	B	0.25
chr2	77200001.0	77760000.0	B	0.125
chr2	77760001.0	78000000.0	B	0.125
chr2	78000001.0	78320000.0	B	0.125
chr2	78320001.0	78560000.0	B	0.25
chr2	78560001.0	78680000.0	B	0.25
chr2	78680001.0	79160000.0	B	0.125
chr2	79160001.0	79880000.0	B	0.125
chr2	79880001.0	80160000.0	B	0.25
chr2	80160001.0	80360000.0	A	0.625
chr2	80360001.0	80800000.0	B	0.25
chr2	80800001.0	81520000.0	B	0.125
chr2	81520001.0	81600000.0	B	0.25
chr2	81600001.0	81760000.0	B	0.25
chr2	81760001.0	82040000.0	B	0.125
chr2	82040001.0	82520000.0	B	0.125
chr2	82520001.0	82800000.0	B	0.125
chr2	82800001.0	83000000.0	B	0.25
chr2	83000001.0	83240000.0	B	0.25
chr2	83240001.0	83360000.0	B	0.375
chr2	83360001.0	83600000.0	B	0.25
chr2	83600001.0	84200000.0	B	0.125
chr2	84200001.0	84640000.0	B	0.25
chr2	84640001.0	84760000.0	A	0.75
chr2	84760001.0	84880000.0	B	0.5
chr2	84880001.0	85120000.0	A	0.75
chr2	85120001.0	85560000.0	A	1.0
chr2	85560001.0	85840000.0	A	1.0
chr2	85840001.0	86080000.0	A	1.0
chr2	86080001.0	86440000.0	A	1.0
chr2	86440001.0	86640000.0	B	0.375
chr2	86640001.0	86800000.0	A	0.75
chr2	86800001.0	87040000.0	B	0.5
chr2	87040001.0	87160000.0	B	0.375
chr2	87280001.0	87320000.0	B	0.375
chr2	87400001.0	87560000.0	B	0.5
chr2	87720001.0	88000000.0	A	0.875
chr2	88160001.0	88240000.0	B	0.5
chr2	88280001.0	88360000.0	B	0.5
chr2	88360001.0	88520000.0	B	0.25
chr2	88520001.0	88840000.0	B	0.125
chr2	88840001.0	89000000.0	A	0.625
chr2	89000001.0	89600000.0	B	0.25
chr2	89800001.0	89920000.0	B	0.25
chr2	89960001.0	90280000.0	B	0.25
chr2	90360001.0	90440000.0	B	0.25
chr2	90440001.0	90480000.0	B	0.25
chr2	91640001.0	91920000.0	B	0.25
chr2	91920001.0	92200000.0	B	0.25
chr2	92240001.0	92280000.0	B	0.25
chr2	92280001.0	92360000.0	A	0.625
chr2	95320001.0	95680000.0	B	0.125
chr2	95680001.0	96000000.0	B	0.5
chr2	96000001.0	96120000.0	A	0.625
chr2	96160001.0	96280000.0	A	0.625
chr2	96320001.0	96560000.0	A	0.625
chr2	96560001.0	96680000.0	A	1.0
chr2	96720001.0	97040000.0	A	1.0
chr2	97040001.0	97160000.0	A	0.625
chr2	97160001.0	97640000.0	A	1.0
chr2	97640001.0	97880000.0	A	0.625
chr2	97880001.0	97920000.0	A	0.625
chr2	98000001.0	98040000.0	A	0.625
chr2	98160001.0	98440000.0	A	0.625
chr2	98440001.0	98640000.0	A	0.75
chr2	98640001.0	99040000.0	B	0.25
chr2	99040001.0	99240000.0	A	0.75
chr2	99240001.0	99560000.0	B	0.25
chr2	99560001.0	99720000.0	B	0.25
chr2	99720001.0	99960000.0	A	0.625
chr2	99960001.0	100120000.0	A	0.875
chr2	100120001.0	100400000.0	A	0.875
chr2	100400001.0	100720000.0	A	1.0
chr2	100720001.0	100880000.0	A	0.75
chr2	100880001.0	101040000.0	A	0.625
chr2	101040001.0	101160000.0	B	0.375
chr2	101160001.0	101360000.0	B	0.5
chr2	101360001.0	101640000.0	A	0.875
chr2	101640001.0	101880000.0	A	0.625
chr2	101880001.0	102160000.0	A	1.0
chr2	102160001.0	102320000.0	A	0.75
chr2	102320001.0	102480000.0	A	1.0
chr2	102480001.0	102640000.0	A	0.75
chr2	102640001.0	102800000.0	A	1.0
chr2	102800001.0	102920000.0	A	0.875
chr2	102920001.0	103080000.0	B	0.5
chr2	103080001.0	103440000.0	B	0.25
chr2	103440001.0	103840000.0	B	0.125
chr2	103840001.0	104320000.0	B	0.125
chr2	104320001.0	104960000.0	B	0.125
chr2	104960001.0	105440000.0	B	0.125
chr2	105440001.0	105640000.0	B	0.25
chr2	105640001.0	105920000.0	B	0.375
chr2	105920001.0	106120000.0	A	0.875
chr2	106120001.0	106360000.0	B	0.375
chr2	106360001.0	106520000.0	B	0.5
chr2	106520001.0	106720000.0	B	0.25
chr2	106720001.0	106840000.0	B	0.5
chr2	106840001.0	107040000.0	B	0.25
chr2	107080001.0	107240000.0	B	0.25
chr2	107240001.0	107680000.0	B	0.125
chr2	107680001.0	108160000.0	B	0.125
chr2	108160001.0	108280000.0	B	0.25
chr2	108280001.0	108440000.0	B	0.125
chr2	108520001.0	108920000.0	B	0.125
chr2	108920001.0	109120000.0	A	0.75
chr2	109120001.0	109440000.0	A	1.0
chr2	109440001.0	109720000.0	A	0.625
chr2	109720001.0	110120000.0	A	1.0
chr2	110240001.0	110320000.0	A	1.0
chr2	110320001.0	110520000.0	A	0.875
chr2	110840001.0	111000000.0	A	0.75
chr2	111360001.0	111440000.0	A	0.75
chr2	111440001.0	111840000.0	B	0.375
chr2	111840001.0	112000000.0	A	0.75
chr2	112000001.0	112560000.0	A	0.875
chr2	112560001.0	112800000.0	A	0.75
chr2	112800001.0	113120000.0	A	0.875
chr2	113160001.0	113240000.0	A	0.875
chr2	113240001.0	113520000.0	A	1.0
chr2	113520001.0	113720000.0	A	0.75
chr2	113720001.0	113920000.0	B	0.375
chr2	113920001.0	114240000.0	A	0.625
chr2	114240001.0	114400000.0	A	0.875
chr2	114400001.0	114760000.0	A	0.875
chr2	114760001.0	115000000.0	B	0.25
chr2	115000001.0	115520000.0	B	0.125
chr2	115520001.0	116000000.0	B	0.125
chr2	116000001.0	116200000.0	B	0.125
chr2	116200001.0	116440000.0	B	0.125
chr2	116440001.0	117120000.0	B	0.125
chr2	117120001.0	117720000.0	B	0.125
chr2	117720001.0	118560000.0	B	0.125
chr2	118560001.0	118760000.0	B	0.5
chr2	118760001.0	118920000.0	B	0.375
chr2	118920001.0	119400000.0	B	0.125
chr2	119400001.0	119640000.0	B	0.25
chr2	119640001.0	119920000.0	B	0.25
chr2	119920001.0	120040000.0	B	0.5
chr2	120040001.0	120400000.0	B	0.25
chr2	120400001.0	120760000.0	A	0.75
chr2	120760001.0	121000000.0	A	0.875
chr2	121000001.0	121200000.0	A	0.875
chr2	121200001.0	121480000.0	A	1.0
chr2	121480001.0	121840000.0	A	1.0
chr2	121840001.0	122120000.0	B	0.5
chr2	122120001.0	122280000.0	A	1.0
chr2	122280001.0	122520000.0	A	1.0
chr2	122520001.0	123000000.0	B	0.25
chr2	123000001.0	123280000.0	B	0.125
chr2	123280001.0	123480000.0	B	0.125
chr2	123480001.0	124720000.0	B	0.125
chr2	124720001.0	124920000.0	B	0.125
chr2	124920001.0	125360000.0	B	0.125
chr2	125360001.0	125480000.0	B	0.375
chr2	125480001.0	125680000.0	B	0.25
chr2	125680001.0	126120000.0	B	0.125
chr2	126120001.0	126240000.0	B	0.375
chr2	126240001.0	126960000.0	B	0.125
chr2	126960001.0	127360000.0	B	0.125
chr2	127360001.0	127480000.0	B	0.5
chr2	127480001.0	127800000.0	B	0.375
chr2	127800001.0	128040000.0	A	1.0
chr2	128040001.0	128240000.0	A	1.0
chr2	128240001.0	128400000.0	A	1.0
chr2	128400001.0	128640000.0	A	1.0
chr2	128640001.0	129080000.0	A	0.875
chr2	129080001.0	129400000.0	A	0.75
chr2	129400001.0	129560000.0	B	0.375
chr2	129560001.0	130040000.0	B	0.125
chr2	130040001.0	130240000.0	B	0.125
chr2	130240001.0	130520000.0	B	0.125
chr2	130520001.0	130800000.0	B	0.25
chr2	130880001.0	131080000.0	B	0.375
chr2	131080001.0	131200000.0	B	0.5
chr2	131360001.0	131400000.0	B	0.25
chr2	131440001.0	131800000.0	B	0.25
chr2	131800001.0	131920000.0	A	0.625
chr2	131920001.0	132000000.0	B	0.25
chr2	132040001.0	132160000.0	B	0.25
chr2	132160001.0	132360000.0	B	0.375
chr2	132360001.0	132640000.0	B	0.25
chr2	132640001.0	133000000.0	B	0.125
chr2	133000001.0	133360000.0	B	0.375
chr2	133360001.0	133920000.0	A	0.75
chr2	133920001.0	134120000.0	A	1.0
chr2	134120001.0	134400000.0	A	0.875
chr2	134400001.0	134640000.0	A	0.875
chr2	134640001.0	134880000.0	A	0.75
chr2	134880001.0	135000000.0	A	0.875
chr2	135000001.0	135240000.0	A	0.75
chr2	135240001.0	135680000.0	B	0.25
chr2	135680001.0	135960000.0	A	0.75
chr2	135960001.0	136240000.0	B	0.375
chr2	136240001.0	136560000.0	A	0.75
chr2	136560001.0	136760000.0	A	0.625
chr2	136760001.0	137200000.0	B	0.125
chr2	137200001.0	137480000.0	B	0.125
chr2	137480001.0	137760000.0	B	0.125
chr2	137760001.0	138160000.0	B	0.125
chr2	138160001.0	138640000.0	B	0.125
chr2	138640001.0	138800000.0	B	0.375
chr2	138800001.0	138960000.0	B	0.25
chr2	138960001.0	139240000.0	B	0.25
chr2	139240001.0	139360000.0	B	0.5
chr2	139360001.0	139600000.0	B	0.25
chr2	139600001.0	140160000.0	B	0.125
chr2	140160001.0	141000000.0	B	0.125
chr2	141000001.0	141160000.0	B	0.125
chr2	141160001.0	141360000.0	B	0.25
chr2	141360001.0	141600000.0	B	0.25
chr2	141600001.0	141840000.0	A	0.625
chr2	141840001.0	142040000.0	B	0.25
chr2	142040001.0	142360000.0	B	0.375
chr2	142360001.0	142880000.0	B	0.125
chr2	142880001.0	143400000.0	B	0.125
chr2	143400001.0	143800000.0	A	0.625
chr2	143800001.0	144160000.0	B	0.375
chr2	144160001.0	144440000.0	A	0.75
chr2	144440001.0	144640000.0	A	0.875
chr2	144640001.0	145080000.0	A	1.0
chr2	145080001.0	145320000.0	A	1.0
chr2	145320001.0	145600000.0	A	0.75
chr2	145600001.0	145680000.0	A	0.625
chr2	145680001.0	145960000.0	A	0.875
chr2	145960001.0	146320000.0	A	0.625
chr2	146320001.0	146560000.0	A	0.75
chr2	146560001.0	146760000.0	B	0.375
chr2	146760001.0	146960000.0	B	0.375
chr2	146960001.0	147120000.0	B	0.5
chr2	147120001.0	147240000.0	B	0.375
chr2	147240001.0	147440000.0	B	0.375
chr2	147440001.0	147680000.0	B	0.25
chr2	147680001.0	147840000.0	B	0.375
chr2	147840001.0	148200000.0	B	0.125
chr2	148200001.0	148680000.0	B	0.25
chr2	148680001.0	149080000.0	A	0.75
chr2	149080001.0	149280000.0	A	0.625
chr2	149280001.0	149400000.0	B	0.375
chr2	149400001.0	149560000.0	A	0.625
chr2	149560001.0	149680000.0	B	0.25
chr2	149800001.0	149840000.0	B	0.25
chr2	149840001.0	149960000.0	B	0.375
chr2	149960001.0	150160000.0	B	0.25
chr2	150160001.0	150440000.0	B	0.25
chr2	150440001.0	150640000.0	A	1.0
chr2	150640001.0	150920000.0	A	0.875
chr2	150920001.0	151160000.0	A	1.0
chr2	151160001.0	151320000.0	A	0.875
chr2	151320001.0	151520000.0	A	1.0
chr2	151520001.0	152120000.0	A	1.0
chr2	152120001.0	152320000.0	A	0.875
chr2	152320001.0	152600000.0	B	0.25
chr2	152600001.0	152720000.0	B	0.5
chr2	152720001.0	152880000.0	B	0.25
chr2	152880001.0	152960000.0	B	0.5
chr2	152960001.0	153200000.0	A	0.75
chr2	153200001.0	153600000.0	A	1.0
chr2	153600001.0	154400000.0	B	0.125
chr2	154400001.0	154600000.0	B	0.125
chr2	154600001.0	154920000.0	B	0.125
chr2	154920001.0	155480000.0	B	0.125
chr2	155480001.0	156160000.0	B	0.125
chr2	156160001.0	157160000.0	B	0.125
chr2	157160001.0	157400000.0	A	0.75
chr2	157400001.0	157680000.0	B	0.25
chr2	157680001.0	157920000.0	B	0.5
chr2	157920001.0	158160000.0	A	0.75
chr2	158160001.0	158600000.0	B	0.25
chr2	158600001.0	158760000.0	A	0.75
chr2	158760001.0	159320000.0	B	0.125
chr2	159320001.0	159520000.0	A	0.75
chr2	159520001.0	159720000.0	B	0.375
chr2	159720001.0	159960000.0	A	1.0
chr2	159960001.0	160360000.0	A	1.0
chr2	160360001.0	160680000.0	A	1.0
chr2	160680001.0	160920000.0	A	0.625
chr2	160920001.0	161120000.0	A	0.875
chr2	161120001.0	161360000.0	A	1.0
chr2	161360001.0	162040000.0	A	1.0
chr2	162040001.0	162280000.0	A	0.875
chr2	162280001.0	162840000.0	B	0.125
chr2	162840001.0	163160000.0	A	0.75
chr2	163160001.0	163960000.0	B	0.125
chr2	163960001.0	164160000.0	B	0.25
chr2	164160001.0	164440000.0	B	0.25
chr2	164440001.0	164600000.0	B	0.5
chr2	164600001.0	164960000.0	B	0.125
chr2	164960001.0	165080000.0	B	0.25
chr2	165080001.0	165400000.0	B	0.125
chr2	165400001.0	165560000.0	B	0.25
chr2	165560001.0	165880000.0	B	0.375
chr2	165880001.0	166200000.0	B	0.25
chr2	166200001.0	166760000.0	B	0.25
chr2	166760001.0	167080000.0	A	0.625
chr2	167080001.0	167280000.0	A	1.0
chr2	167280001.0	167520000.0	A	0.625
chr2	167520001.0	167960000.0	B	0.375
chr2	167960001.0	168080000.0	A	0.625
chr2	168080001.0	168440000.0	B	0.25
chr2	168440001.0	168800000.0	B	0.125
chr2	168800001.0	169120000.0	A	0.75
chr2	169120001.0	169280000.0	B	0.25
chr2	169280001.0	169520000.0	B	0.375
chr2	169520001.0	169840000.0	B	0.25
chr2	169840001.0	170320000.0	B	0.125
chr2	170320001.0	170640000.0	A	0.75
chr2	170640001.0	170760000.0	A	0.75
chr2	170760001.0	171080000.0	A	0.625
chr2	171080001.0	171280000.0	B	0.25
chr2	171280001.0	171560000.0	B	0.125
chr2	171560001.0	171800000.0	B	0.375
chr2	171800001.0	172040000.0	A	1.0
chr2	172040001.0	172360000.0	A	1.0
chr2	172360001.0	172560000.0	A	0.875
chr2	172560001.0	172720000.0	A	1.0
chr2	172720001.0	173040000.0	A	1.0
chr2	173040001.0	173400000.0	A	1.0
chr2	173400001.0	173640000.0	A	1.0
chr2	173640001.0	173920000.0	A	1.0
chr2	173920001.0	174080000.0	A	1.0
chr2	174080001.0	174240000.0	A	0.75
chr2	174240001.0	174440000.0	A	0.625
chr2	174440001.0	174560000.0	A	0.75
chr2	174560001.0	174760000.0	B	0.5
chr2	174760001.0	174960000.0	A	1.0
chr2	174960001.0	175240000.0	A	0.875
chr2	175240001.0	175640000.0	A	1.0
chr2	175640001.0	175880000.0	A	1.0
chr2	175880001.0	176040000.0	A	0.875
chr2	176040001.0	176480000.0	B	0.25
chr2	176480001.0	176680000.0	B	0.25
chr2	176680001.0	176920000.0	B	0.375
chr2	176920001.0	177040000.0	B	0.375
chr2	177040001.0	177280000.0	B	0.25
chr2	177280001.0	177520000.0	B	0.375
chr2	177520001.0	178040000.0	B	0.125
chr2	178040001.0	178200000.0	A	0.875
chr2	178200001.0	178440000.0	A	0.625
chr2	178440001.0	178680000.0	B	0.25
chr2	178680001.0	179000000.0	B	0.25
chr2	179000001.0	179280000.0	B	0.5
chr2	179280001.0	179400000.0	A	0.75
chr2	179400001.0	179800000.0	B	0.25
chr2	179800001.0	179960000.0	B	0.125
chr2	179960001.0	180200000.0	B	0.375
chr2	180200001.0	180560000.0	B	0.375
chr2	180560001.0	180640000.0	B	0.375
chr2	180640001.0	180800000.0	B	0.25
chr2	180800001.0	180960000.0	B	0.5
chr2	180960001.0	181360000.0	B	0.375
chr2	181360001.0	181640000.0	A	0.625
chr2	181640001.0	181840000.0	B	0.5
chr2	181840001.0	182000000.0	A	0.75
chr2	182000001.0	182240000.0	B	0.25
chr2	182240001.0	182600000.0	B	0.375
chr2	182600001.0	183040000.0	A	0.875
chr2	183040001.0	183600000.0	A	0.875
chr2	183600001.0	183760000.0	A	0.75
chr2	183760001.0	183920000.0	A	0.875
chr2	183920001.0	184080000.0	A	0.625
chr2	184080001.0	185160000.0	B	0.125
chr2	185160001.0	185440000.0	B	0.25
chr2	185440001.0	185800000.0	B	0.5
chr2	185800001.0	186040000.0	B	0.25
chr2	186040001.0	186800000.0	B	0.125
chr2	186800001.0	187120000.0	B	0.25
chr2	187120001.0	187360000.0	B	0.375
chr2	187360001.0	187560000.0	A	0.875
chr2	187560001.0	187800000.0	B	0.5
chr2	187800001.0	187960000.0	B	0.25
chr2	187960001.0	188320000.0	B	0.25
chr2	188320001.0	188480000.0	A	0.875
